player,elo,hElo,cElo,gElo
Jannik Sinner,2331.1,2268.9,2222.5,2094.0
Carlos Alcaraz,2271.8,2198.3,2211.6,2139.2
Alexander Zverev,2086.8,2035.0,2028.4,1898.3
Novak Djokovic,2079.6,2031.8,1982.2,1935.0
Arthur Fils,2046.2,1962.6,1985.7,1809.2
Daniil Medvedev,2000.1,1973.7,1904.4,1879.1
Felix Auger Aliassime,1985.4,1945.9,1873.7,1794.0
Alex De Minaur,1983.4,1946.8,1877.7,1827.6
Taylor Fritz,1980.4,1924.2,1872.7,1914.3
Rafael Jodar,1980.0,1863.4,1933.9,1690.0
Ben Shelton,1976.0,1929.4,1890.5,1803.6
Lorenzo Musetti,1966.9,1902.6,1951.4,1849.4
Jiri Lehecka,1954.8,1898.7,1849.8,1809.9
Casper Ruud,1937.1,1865.7,1938.6,1691.8
Jakub Mensik,1934.7,1894.6,1811.4,1728.7
Joao Fonseca,1931.8,1915.8,1828.9,1707.1
Tommy Paul,1929.0,1871.4,1869.4,1761.9
Alexander Bublik,1925.1,1854.6,1871.2,1831.5
Sebastian Korda,1923.6,1880.0,1784.9,1794.0
Francisco Cerundolo,1908.9,1869.0,1871.6,1676.7
Jack Draper,1907.8,1875.2,1789.4,1741.3
Learner Tien,1902.6,1885.0,1616.7,1693.6
Valentin Vacherot,1901.6,1851.7,1786.7,1604.7
Raphael Collignon,1893.2,1836.7,1791.6,1644.1
Alexander Blockx,1891.4,1786.0,1858.7,1690.7
Flavio Cobolli,1889.2,1806.1,1859.3,1756.8
Andrey Rublev,1888.0,1841.5,1848.6,1793.5
Frances Tiafoe,1886.3,1845.6,1811.9,1744.0
Alejandro Davidovich Fokina,1884.8,1838.2,1814.9,1720.2
Cameron Norrie,1875.5,1812.4,1842.3,1758.5
Tomas Martin Etcheverry,1865.3,1792.4,1813.8,1612.0
Stefanos Tsitsipas,1860.0,1816.0,1883.2,1704.0
Ugo Humbert,1854.3,1836.6,1713.1,1713.3
Tomas Machac,1850.1,1821.4,1755.4,1698.0
Alejandro Tabilo,1847.4,1764.0,1799.2,1722.1
Karen Khachanov,1831.9,1784.8,1784.1,1744.1
Matteo Berrettini,1829.9,1796.7,1783.6,1738.2
Tallon Griekspoor,1822.8,1793.3,1746.4,1768.5
Dino Prizmic,1822.6,1724.0,1786.8,1607.4
Alex Michelsen,1820.4,1807.8,1648.0,1707.8
Hamad Medjedovic,1820.3,1734.0,1798.3,1642.9
Hubert Hurkacz,1819.0,1736.9,1784.9,1726.4
Arthur Rinderknech,1815.7,1765.5,1730.5,1688.1
Gael Monfils,1815.2,1789.4,1699.0,1657.7
Marin Cilic,1814.5,1768.5,1725.3,1778.1
Ethan Quinn,1814.1,1772.2,1725.6,1655.1
Jaume Munar,1811.3,1765.7,1732.2,1640.5
Eliot Spizzirri,1810.3,1772.1,1596.1,1637.2
Brandon Nakashima,1809.2,1772.9,1709.6,1727.0
Corentin Moutet,1808.8,1758.9,1743.3,1720.7
Denis Shapovalov,1806.7,1792.8,1710.3,1648.8
Yibing Wu,1806.1,1772.4,1698.1,1589.6
Zizou Bergs,1802.8,1754.3,1708.8,1664.7
Fabian Marozsan,1796.0,1752.5,1738.6,1599.2
Arthur Cazaux,1792.9,1737.6,1702.8,1658.7
Yannick Hanfmann,1787.4,1724.0,1749.3,1645.9
Marcos Giron,1782.6,1736.5,1662.5,1708.1
Holger Rune,1781.9,1749.5,1753.7,1640.9
Luciano Darderi,1776.9,1649.5,1789.6,1589.6
Daniel Merida Aguilar,1775.9,1691.7,1722.3,1588.0
Roman Safiullin,1773.7,1715.5,1763.7,1622.1
Mariano Navone,1773.2,1668.4,1759.1,1551.4
Jordan Thompson,1772.4,1732.6,1604.6,1708.7
Marton Fucsovics,1772.4,1727.4,1704.3,1717.9
Grigor Dimitrov,1769.0,1748.4,1682.1,1658.7
Reilly Opelka,1767.1,1742.9,1668.4,1643.7
Botic Van De Zandschulp,1765.4,1721.7,1713.2,1603.6
Kamil Majchrzak,1762.1,1719.9,1716.2,1666.7
Pablo Carreno Busta,1758.1,1722.8,1726.0,1576.8
Camilo Ugo Carabelli,1756.1,1640.0,1747.9,1494.7
Roman Andres Burruchaga,1753.9,1566.1,1736.0,1592.6
Adolfo Daniel Vallejo,1751.9,1525.7,1720.0,1626.0
Lorenzo Sonego,1751.8,1717.7,1663.9,1666.8
Benjamin Bonzi,1748.7,1712.8,1634.7,1643.5
Terence Atmane,1746.6,1695.1,1667.6,1563.2
Juncheng Shang,1745.8,1698.4,1640.2,1650.8
Sebastian Baez,1745.3,1701.8,1706.5,1539.2
Jenson Brooksby,1743.0,1706.5,1658.5,1678.9
Vit Kopriva,1740.7,1670.7,1718.7,1603.9
Nishesh Basavareddy,1739.6,1689.6,1635.8,1553.2
Alex Molcan,1737.5,1650.2,1714.0,1613.4
Soon Woo Kwon,1734.8,1697.7,1620.5,1591.4
Matteo Arnaldi,1732.4,1683.5,1729.9,1567.4
Roberto Bautista Agut,1731.3,1683.7,1676.2,1699.7
Gabriel Diallo,1731.2,1685.9,1653.9,1670.8
Leandro Riedi,1730.0,1693.7,1587.5,1662.8
Alexei Popyrin,1728.2,1674.0,1712.7,1608.3
Michael Zheng,1727.2,1687.5,1473.6,1544.2
Ignacio Buse,1723.9,1612.6,1695.3,1535.4
Nuno Borges,1723.1,1691.2,1683.0,1595.9
Miomir Kecmanovic,1720.9,1685.2,1662.9,1622.2
Giovanni Mpetshi Perricard,1718.7,1662.3,1664.8,1641.7
Zachary Svajda,1718.5,1690.2,1499.9,1701.4
Toby Samuel,1714.0,1713.0,1558.7,1561.0
Kei Nishikori,1714.0,1680.3,1609.5,1591.1
Titouan Droguet,1712.5,1647.8,1691.9,1599.4
Rinky Hijikata,1712.4,1676.1,1543.9,1616.5
Otto Virtanen,1711.7,1677.1,1555.7,1693.4
Alexandre Muller,1707.6,1651.8,1681.4,1537.9
Sebastian Ofner,1705.5,1650.9,1673.8,1631.4
Luca Van Assche,1705.1,1683.4,1624.7,1557.4
Zsombor Piros,1704.8,1651.2,1663.2,1574.4
Zhizhen Zhang,1703.3,1652.8,1692.1,1602.6
Thiago Agustin Tirante,1702.6,1617.0,1675.3,1539.8
Emilio Nava,1699.9,1619.0,1664.7,1573.7
Jan Lennard Struff,1698.1,1636.2,1674.9,1622.4
Martin Landaluce,1695.9,1669.5,1568.7,1646.3
Juan Manuel Cerundolo,1694.4,1609.5,1680.9,1464.5
Pablo Llamas Ruiz,1693.6,1598.7,1680.6,1538.0
Coleman Wong,1691.1,1650.5,1474.0,1542.0
Nicolai Budkov Kjaer,1690.2,1632.9,1644.3,1544.8
Yoshihito Nishioka,1688.7,1659.2,1618.3,1539.9
Andrea Vavassori,1688.1,1655.0,1642.3,1538.1
Quentin Halys,1686.9,1666.9,1624.6,1624.9
Alexander Shevchenko,1686.2,1651.1,1627.6,1485.9
Daniel Altmaier,1685.6,1627.4,1665.8,1535.5
Jason Kubler,1684.5,1635.3,1615.7,1679.3
Martin Damm,1682.7,1645.3,1493.8,1649.5
Borna Gojo,1682.4,1661.9,1640.7,1467.9
Cristian Garin,1681.9,1579.6,1683.7,1624.8
Stan Wawrinka,1681.7,1665.7,1616.1,1591.7
Lloyd Harris,1681.7,1648.7,1575.5,1637.8
Laslo Djere,1678.6,1603.8,1703.8,1561.9
Mattia Bellucci,1677.1,1656.2,1571.7,1612.7
Valentin Royer,1676.9,1603.1,1641.6,1614.2
Dalibor Svrcina,1674.6,1641.7,1600.2,1506.3
Jaime Faria,1673.3,1584.2,1641.8,1598.6
Adam Walton,1670.3,1633.4,1511.4,1504.6
David Goffin,1666.6,1626.4,1643.1,1650.1
Arthur Fery,1665.3,1656.8,1457.7,1491.1
Adrian Mannarino,1663.9,1642.6,1489.1,1655.9
Kyrian Jacquet,1663.6,1652.2,1554.4,1554.6
Christopher Oconnell,1663.4,1652.0,1588.4,1535.8
Marco Trungelliti,1659.3,1512.4,1659.7,1497.5
Chris Rodesch,1656.7,1640.8,1554.3,1598.1
Hugo Gaston,1654.6,1644.3,1590.6,1551.5
Pavel Kotov,1651.9,1628.5,1584.8,1530.0
Vilius Gaubas,1651.6,1594.8,1610.6,1564.5
James Duckworth,1651.5,1603.7,1585.0,1572.6
Nicolas Jarry,1648.3,1573.5,1641.5,1635.2
Damir Dzumhur,1646.1,1599.6,1624.1,1536.4
Francisco Comesana,1644.7,1616.8,1612.7,1535.3
Henrique Rocha,1644.5,1558.7,1628.1,1528.1
Mackenzie Mcdonald,1641.9,1622.3,1501.8,1577.4
Jesper De Jong,1637.0,1570.1,1634.3,1499.5
Dusan Lajovic,1635.6,1566.3,1605.9,1495.3
Nikoloz Basilashvili,1634.1,1589.7,1589.2,1604.7
Jerome Kym,1633.9,1608.9,1576.6,1494.6
Rei Sakamoto,1632.1,1601.7,1520.0,1516.1
Bu Yunchaokete,1629.1,1589.5,1581.2,1456.7
Gustavo Heide,1629.1,1502.7,1623.3,1484.0
Hugo Dellien,1627.5,1480.8,1616.0,1474.5
Francesco Passaro,1626.2,1578.6,1615.0,1469.5
Jacob Fearnley,1625.8,1577.8,1652.4,1581.9
Patrick Kypson,1625.3,1603.6,1534.7,1474.9
Liam Broady,1622.5,1593.2,1486.9,1524.2
Luca Nardi,1622.0,1590.3,1573.5,1447.2
Roberto Carballes Baena,1622.0,1587.4,1606.5,1500.8
Giulio Zeppieri,1621.9,1589.0,1565.7,1578.9
Arthur Gea,1621.4,1621.9,1538.3,1510.7
Elmer Moller,1620.3,1489.6,1609.8,1539.2
Joel Schwaerzler,1619.9,1540.9,1589.3,1509.9
Aleksandar Kovacevic,1618.2,1602.0,1468.1,1485.0
Michael Mmoh,1617.9,1599.2,1510.6,1525.8
