player,elo,hElo,cElo,gElo
Aryna Sabalenka,2209.4,2196.0,2097.9,1983.6
Elena Rybakina,2111.4,2104.4,1996.1,1878.4
Jessica Pegula,2095.9,2056.1,1941.1,1916.1
Karolina Muchova,2089.4,2045.7,1904.1,1916.8
Coco Gauff,2088.4,2043.3,2027.0,1874.3
Marta Kostyuk,2065.8,1972.1,1996.7,1826.7
Iga Swiatek,2058.0,2018.8,2005.1,1903.5
Mirra Andreeva,2056.9,1985.3,2025.9,1798.0
Linda Noskova,2054.3,1951.7,1851.1,1943.1
Elina Svitolina,2045.8,1979.8,1982.4,1830.4
Naomi Osaka,2003.2,1930.2,1894.0,1830.6
Belinda Bencic,1994.4,1955.0,1851.2,1806.6
Alexandra Eala,1985.4,1924.4,1722.3,1850.9
Madison Keys,1974.5,1905.5,1887.6,1841.1
Sorana Cirstea,1957.1,1914.8,1856.0,1703.2
Iva Jovic,1932.8,1860.9,1806.3,1827.3
Jasmine Paolini,1928.6,1884.2,1867.9,1797.8
Elise Mertens,1920.6,1861.0,1824.3,1788.8
Barbora Krejcikova,1917.5,1866.6,1740.0,1802.9
Anna Kalinskaya,1917.0,1873.6,1809.4,1739.0
Amanda Anisimova,1910.5,1878.0,1749.8,1768.6
Marketa Vondrousova,1907.1,1825.8,1773.1,1791.1
Diana Shnaider,1901.0,1847.6,1845.8,1704.5
Victoria Mboko,1900.9,1901.3,1751.1,1654.1
Anastasia Potapova,1880.8,1791.1,1869.7,1662.6
Marie Bouzkova,1879.3,1806.0,1803.1,1766.2
Sonay Kartal,1874.0,1832.6,1602.3,1731.6
Karolina Pliskova,1872.0,1812.1,1807.1,1758.0
Emma Navarro,1866.7,1764.9,1794.5,1765.2
Jelena Ostapenko,1863.3,1798.5,1812.4,1774.4
Katerina Siniakova,1845.1,1806.4,1721.6,1724.9
Hailey Baptiste,1843.9,1780.5,1770.5,1631.6
Maria Sakkari,1836.5,1816.5,1766.4,1662.6
Ashlyn Krueger,1836.5,1752.2,1700.8,1770.3
Veronika Kudermetova,1836.4,1785.9,1764.7,1709.5
Emma Raducanu,1834.0,1772.9,1726.8,1742.6
Ekaterina Alexandrova,1833.0,1784.8,1731.0,1734.9
Qinwen Zheng,1829.0,1807.6,1799.8,1603.0
Paula Badosa,1825.0,1770.4,1772.1,1662.3
