player,surface,period,spw,rpw,matches
Jannik Sinner,hard,52week,0.7280,0.4170,56
Jannik Sinner,clay,52week,0.7260,0.4490,19
Jannik Sinner,grass,52week,0.7440,0.3890,14
Jannik Sinner,all,52week,0.7301,0.4194,89
Jannik Sinner,hard,career,0.6840,0.4040,308
Jannik Sinner,clay,career,0.6540,0.4290,110
Jannik Sinner,grass,career,0.7120,0.3770,46
Jannik Sinner,all,career,0.6797,0.4073,464
Carlos Alcaraz,hard,52week,0.6970,0.4120,45
Carlos Alcaraz,clay,52week,0.6490,0.4460,25
Carlos Alcaraz,grass,52week,0.7030,0.3750,12
Carlos Alcaraz,all,52week,0.6832,0.4170,82
Carlos Alcaraz,hard,career,0.6760,0.4090,203
Carlos Alcaraz,clay,career,0.6430,0.4410,123
Carlos Alcaraz,grass,career,0.6820,0.3890,39
Carlos Alcaraz,all,career,0.6655,0.4176,365
Alexander Zverev,hard,52week,0.6930,0.3570,54
Alexander Zverev,clay,52week,0.6670,0.4020,24
Alexander Zverev,grass,52week,0.7440,0.3260,12
Alexander Zverev,all,52week,0.6929,0.3649,90
Alexander Zverev,hard,career,0.6740,0.3730,467
Alexander Zverev,clay,career,0.6460,0.4090,251
Alexander Zverev,grass,career,0.7040,0.3480,79
Alexander Zverev,all,career,0.6682,0.3819,797
Novak Djokovic,hard,52week,0.6890,0.3820,25
Novak Djokovic,clay,52week,0.6470,0.3460,4
Novak Djokovic,grass,52week,0.6950,0.3740,12
Novak Djokovic,all,52week,0.6867,0.3761,41
Novak Djokovic,hard,career,0.6820,0.4180,890
Novak Djokovic,clay,career,0.6510,0.4360,371
Novak Djokovic,grass,career,0.7020,0.3930,153
Novak Djokovic,all,career,0.6760,0.4200,1414
Arthur Fils,hard,52week,0.6740,0.3390,19
Arthur Fils,clay,52week,0.6810,0.3720,11
Arthur Fils,grass,52week,0.6990,0.3640,2
Arthur Fils,all,52week,0.6780,0.3519,32
Arthur Fils,hard,career,0.6650,0.3510,103
Arthur Fils,clay,career,0.6310,0.3960,58
Arthur Fils,grass,career,0.6560,0.3380,13
Arthur Fils,all,career,0.6530,0.3650,174
Rafael Jodar,hard,52week,0.6390,0.3640,19
Rafael Jodar,clay,52week,0.6480,0.4380,23
Rafael Jodar,grass,52week,0.6160,0.4090,3
Rafael Jodar,all,52week,0.6421,0.4048,45
Rafael Jodar,hard,career,0.6390,0.3640,19
Rafael Jodar,clay,career,0.6480,0.4380,23
Rafael Jodar,grass,career,0.6160,0.4090,3
Rafael Jodar,all,career,0.6421,0.4048,45
Felix Auger Aliassime,hard,52week,0.6980,0.3580,53
Felix Auger Aliassime,clay,52week,0.6600,0.3600,13
Felix Auger Aliassime,grass,52week,0.7000,0.3440,12
Felix Auger Aliassime,all,52week,0.6920,0.3562,78
Felix Auger Aliassime,hard,career,0.6730,0.3620,316
Felix Auger Aliassime,clay,career,0.6360,0.3820,105
Felix Auger Aliassime,grass,career,0.7070,0.3380,56
Felix Auger Aliassime,all,career,0.6688,0.3636,477
Daniil Medvedev,hard,52week,0.6620,0.4110,53
Daniil Medvedev,clay,52week,0.6070,0.4040,10
Daniil Medvedev,grass,52week,0.6520,0.3860,10
Daniil Medvedev,all,52week,0.6531,0.4066,73
Daniil Medvedev,hard,career,0.6650,0.4020,471
Daniil Medvedev,clay,career,0.6140,0.4020,88
Daniil Medvedev,grass,career,0.6670,0.3720,85
Daniil Medvedev,all,career,0.6583,0.3980,644
Alex De Minaur,hard,52week,0.6670,0.3920,49
Alex De Minaur,clay,52week,0.6020,0.3960,14
Alex De Minaur,grass,52week,0.6480,0.4390,11
Alex De Minaur,all,52week,0.6519,0.3997,74
Alex De Minaur,hard,career,0.6460,0.3970,378
Alex De Minaur,clay,career,0.6000,0.4100,91
Alex De Minaur,grass,career,0.6590,0.4000,67
Alex De Minaur,all,career,0.6398,0.3996,536
Casper Ruud,hard,52week,0.6790,0.3450,34
Casper Ruud,clay,52week,0.6650,0.4290,25
Casper Ruud,grass,52week,0.6040,0.2930,1
Casper Ruud,all,52week,0.6719,0.3791,60
Casper Ruud,hard,career,0.6640,0.3530,237
Casper Ruud,clay,career,0.6560,0.3990,237
Casper Ruud,grass,career,0.6570,0.3470,13
Casper Ruud,all,career,0.6599,0.3752,487
Tommy Paul,hard,52week,0.6920,0.3680,27
Tommy Paul,clay,52week,0.6210,0.4090,16
Tommy Paul,grass,52week,0.6850,0.3940,8
Tommy Paul,all,52week,0.6686,0.3849,51
Tommy Paul,hard,career,0.6460,0.3880,258
Tommy Paul,clay,career,0.6190,0.3840,80
Tommy Paul,grass,career,0.6670,0.3780,47
Tommy Paul,all,career,0.6430,0.3859,385
Ben Shelton,hard,52week,0.6940,0.3250,34
Ben Shelton,clay,52week,0.7140,0.3190,13
Ben Shelton,grass,52week,0.7120,0.2970,8
Ben Shelton,all,52week,0.7013,0.3195,55
Ben Shelton,hard,career,0.6910,0.3270,149
Ben Shelton,clay,career,0.6590,0.3360,47
Ben Shelton,grass,career,0.6960,0.3120,31
Ben Shelton,all,career,0.6851,0.3268,227
Jiri Lehecka,hard,52week,0.6740,0.3580,38
Jiri Lehecka,clay,52week,0.6740,0.3460,10
Jiri Lehecka,grass,52week,0.7040,0.3390,9
Jiri Lehecka,all,52week,0.6787,0.3529,57
Jiri Lehecka,hard,career,0.6550,0.3480,165
Jiri Lehecka,clay,career,0.6300,0.3720,51
Jiri Lehecka,grass,career,0.7010,0.3370,29
Jiri Lehecka,all,career,0.6552,0.3517,245
Taylor Fritz,hard,52week,0.7020,0.3450,51
Taylor Fritz,clay,52week,0.6190,0.2360,2
Taylor Fritz,grass,52week,0.7360,0.3360,14
Taylor Fritz,all,52week,0.7066,0.3399,67
Taylor Fritz,hard,career,0.6740,0.3590,410
Taylor Fritz,clay,career,0.6440,0.3770,95
Taylor Fritz,grass,career,0.7070,0.3340,85
Taylor Fritz,all,career,0.6739,0.3583,590
Learner Tien,hard,52week,0.6470,0.3790,44
Learner Tien,clay,52week,0.6240,0.4120,13
Learner Tien,grass,52week,0.6230,0.3810,4
Learner Tien,all,52week,0.6405,0.3862,61
Learner Tien,hard,career,0.6270,0.3760,75
Learner Tien,clay,career,0.6140,0.3770,20
Learner Tien,grass,career,0.6310,0.3490,11
Learner Tien,all,career,0.6250,0.3734,106
Joao Fonseca,hard,52week,0.6640,0.3530,24
Joao Fonseca,clay,52week,0.6690,0.3630,18
Joao Fonseca,grass,52week,0.6480,0.3640,7
Joao Fonseca,all,52week,0.6636,0.3582,49
Joao Fonseca,hard,career,0.6740,0.3540,40
Joao Fonseca,clay,career,0.6380,0.3770,41
Joao Fonseca,grass,career,0.6590,0.3560,11
Joao Fonseca,all,career,0.6562,0.3645,92
Jakub Mensik,hard,52week,0.6610,0.3680,39
Jakub Mensik,clay,52week,0.6850,0.3280,12
Jakub Mensik,grass,52week,0.6590,0.3410,3
Jakub Mensik,all,52week,0.6662,0.3576,54
Jakub Mensik,hard,career,0.6580,0.3600,95
Jakub Mensik,clay,career,0.6590,0.3630,30
Jakub Mensik,grass,career,0.6410,0.3470,16
Jakub Mensik,all,career,0.6563,0.3592,141
Frances Tiafoe,hard,52week,0.6520,0.3540,33
Frances Tiafoe,clay,52week,0.6300,0.3770,11
Frances Tiafoe,grass,52week,0.7040,0.3390,11
Frances Tiafoe,all,52week,0.6580,0.3556,55
Frances Tiafoe,hard,career,0.6500,0.3550,337
Frances Tiafoe,clay,career,0.6310,0.3690,102
Frances Tiafoe,grass,career,0.6730,0.3420,55
Frances Tiafoe,all,career,0.6486,0.3564,494
Francisco Cerundolo,hard,52week,0.6150,0.3830,27
Francisco Cerundolo,clay,52week,0.6240,0.4400,23
Francisco Cerundolo,grass,52week,0.6090,0.3930,6
Francisco Cerundolo,all,52week,0.6181,0.4075,56
Francisco Cerundolo,hard,career,0.6200,0.3770,117
Francisco Cerundolo,clay,career,0.6110,0.4210,152
Francisco Cerundolo,grass,career,0.6070,0.3680,23
Francisco Cerundolo,all,career,0.6143,0.3992,292
Andrey Rublev,hard,52week,0.6720,0.3640,36
Andrey Rublev,clay,52week,0.6530,0.3920,22
Andrey Rublev,grass,52week,0.6410,0.2300,2
Andrey Rublev,all,52week,0.6640,0.3698,60
Andrey Rublev,hard,career,0.6630,0.3800,429
Andrey Rublev,clay,career,0.6450,0.4000,156
Andrey Rublev,grass,career,0.6670,0.3570,37
Andrey Rublev,all,career,0.6587,0.3836,622
Flavio Cobolli,hard,52week,0.6260,0.3490,39
Flavio Cobolli,clay,52week,0.6420,0.3770,22
Flavio Cobolli,grass,52week,0.6250,0.3490,6
Flavio Cobolli,all,52week,0.6312,0.3582,67
Flavio Cobolli,hard,career,0.6160,0.3490,93
Flavio Cobolli,clay,career,0.6220,0.4010,69
Flavio Cobolli,grass,career,0.6530,0.3380,22
Flavio Cobolli,all,career,0.6227,0.3672,184
Alejandro Davidovich Fokina,hard,52week,0.6540,0.3680,42
Alejandro Davidovich Fokina,clay,52week,0.6000,0.3580,10
Alejandro Davidovich Fokina,grass,52week,0.6990,0.3850,12
Alejandro Davidovich Fokina,all,52week,0.6540,0.3696,64
Alejandro Davidovich Fokina,hard,career,0.6230,0.3800,201
Alejandro Davidovich Fokina,clay,career,0.6010,0.4050,105
Alejandro Davidovich Fokina,grass,career,0.6590,0.3720,35
Alejandro Davidovich Fokina,all,career,0.6199,0.3869,341
Alexander Bublik,hard,52week,0.6870,0.3390,39
Alexander Bublik,clay,52week,0.6650,0.3530,20
Alexander Bublik,grass,52week,0.7210,0.3150,8
Alexander Bublik,all,52week,0.6845,0.3403,67
Alexander Bublik,hard,career,0.6420,0.3450,248
Alexander Bublik,clay,career,0.6310,0.3520,89
Alexander Bublik,grass,career,0.6810,0.3500,66
Alexander Bublik,all,career,0.6460,0.3474,403
Alexander Blockx,hard,52week,0.6760,0.3600,11
Alexander Blockx,clay,52week,0.6540,0.3590,22
Alexander Blockx,grass,52week,0.6950,0.2300,1
