player,surface,period,spw,rpw,matches
Aryna Sabalenka,hard,52week,0.6530,0.4350,43
Aryna Sabalenka,clay,52week,0.6250,0.4520,11
Aryna Sabalenka,grass,52week,0.6290,0.4240,13
Aryna Sabalenka,all,52week,0.6437,0.4357,67
Aryna Sabalenka,hard,career,0.6150,0.4460,376
Aryna Sabalenka,clay,career,0.6020,0.4530,125
Aryna Sabalenka,grass,career,0.6140,0.4220,61
Aryna Sabalenka,all,career,0.6120,0.4450,562
Elena Rybakina,hard,52week,0.6540,0.4260,61
Elena Rybakina,clay,52week,0.6380,0.4470,13
Elena Rybakina,grass,52week,0.6370,0.4080,9
Elena Rybakina,all,52week,0.6497,0.4273,83
Elena Rybakina,hard,career,0.6300,0.4250,286
Elena Rybakina,clay,career,0.6120,0.4480,100
Elena Rybakina,grass,career,0.6430,0.4190,53
Elena Rybakina,all,career,0.6275,0.4295,439
Jessica Pegula,hard,52week,0.6200,0.4570,51
Jessica Pegula,clay,52week,0.6220,0.4510,12
Jessica Pegula,grass,52week,0.6210,0.4400,10
Jessica Pegula,all,52week,0.6205,0.4537,73
Jessica Pegula,hard,career,0.6010,0.4530,306
Jessica Pegula,clay,career,0.5760,0.4600,84
Jessica Pegula,grass,career,0.6170,0.4280,45
Jessica Pegula,all,career,0.5978,0.4518,435
Karolina Muchova,hard,52week,0.6220,0.4290,42
Karolina Muchova,clay,52week,0.5800,0.4090,9
Karolina Muchova,grass,52week,0.6650,0.4110,14
Karolina Muchova,all,52week,0.6254,0.4224,65
Karolina Muchova,hard,career,0.6120,0.4300,187
Karolina Muchova,clay,career,0.5830,0.4420,52
Karolina Muchova,grass,career,0.6240,0.4060,35
Karolina Muchova,all,career,0.6080,0.4292,274
Coco Gauff,hard,52week,0.5710,0.4750,45
Coco Gauff,clay,52week,0.5770,0.4900,14
Coco Gauff,grass,52week,0.6240,0.4200,8
Coco Gauff,all,52week,0.5786,0.4716,67
Coco Gauff,hard,career,0.5910,0.4540,247
Coco Gauff,clay,career,0.5770,0.4930,103
Coco Gauff,grass,career,0.6240,0.4160,40
